Datetime;FearGreed;rating
1718323200000;41.11428571428572;fear
1718582400000;43.285714285714285;fear
1718668800000;41.28571428571429;fear
1718841600000;38.714285714285715;fear
1718928000000;39.05714285714286;fear
1719187200000;37.77142857142858;fear
1719273600000;37.285714285714285;fear
1719360000000;40.88571428571429;fear
1719446400000;45.51428571428571;neutral
1719532800000;44.31428571428571;fear
1719792000000;47.94285714285714;neutral
1719878400000;49.74285714285714;neutral
1719964800000;48.371428571428574;neutral
1720137600000;49.714285714285715;neutral
1720396800000;51.057142857142864;neutral
1720483200000;50.57142857142856;neutral
1720569600000;54.60000000000001;neutral
1720656000000;49.4;neutral
1720742400000;54.371428571428574;neutral
1721001600000;57.74285714285715;greed
1721088000000;57.02857142857143;greed
1721174400000;46.114285714285714;neutral
1721260800000;45.94285714285714;neutral
1721347200000;43;fear
1721606400000;48.42857142857144;neutral
1721692800000;46.857142857142854;neutral
1721779200000;38.614285714285714;fear
1721865600000;39.07142857142857;fear
1721952000000;42.542857142857144;fear
1722211200000;42.07142857142857;fear
1722297600000;40.800000000000004;fear
1722384000000;46.885714285714286;neutral
1722470400000;42.68571428571429;fear
1722556800000;41.385714285714286;fear
1722816000000;33.05714285714286;fear
1722902400000;19.014285714285712;extreme fear
1722988800000;16.557142857142857;extreme fear
1723075200000;17.65714285714286;extreme fear
1723161600000;24.085714285714285;extreme fear
1723420800000;23.8;extreme fear
1723507200000;25.514285714285712;fear
1723593600000;26.428571428571434;fear
1723680000000;32.37142857142857;fear
1723766400000;33.74285714285715;fear
1724025600000;39.88571428571429;fear
1724112000000;44.68571428571429;fear
1724198400000;50.228571428571435;neutral
1724284800000;46.77142857142858;neutral
1724371200000;51.57142857142857;neutral
1724630400000;52.94285714285714;neutral
1724716800000;52.28571428571429;neutral
1724803200000;51.08571428571429;neutral
1724889600000;56.057142857142864;greed
1724976000000;60.314285714285724;greed
1725321600000;56.34285714285714;greed
1725408000000;56.62857142857143;greed
1725494400000;50.62857142857143;neutral
1725580800000;39.34285714285715;fear
1725840000000;41.971428571428575;fear
1725926400000;39.6857142857143;fear
1726012800000;43.08571428571429;fear
1726099200000;42.97142857142857;fear
1726185600000;48.62857142857143;neutral
1726444800000;50.31428571428571;neutral
1726531200000;54.62857142857143;neutral
1726617600000;55.17142857142858;greed
1726704000000;63.80000000000001;greed
1726790400000;61.2;greed
1727049600000;63.85714285714287;greed
1727136000000;66.42857142857143;greed
1727222400000;65.74285714285715;greed
