Date,VIX
2021-01-06,1.1792918317444696
2021-01-07,1.0662997736535844
2021-01-08,0.9725859859650098
2021-01-11,0.9232214581368788
2021-01-12,0.9374999849367215
2021-01-13,0.9628058068379803
2021-01-14,0.9355192970020391
2021-01-15,0.9511896736997755
2021-01-19,1.0112746424825212
2021-01-20,0.9955824428999304
2021-01-21,0.9373082995168067
2021-01-22,0.9003265005289369
2021-01-25,0.9358215889450348
2021-01-26,0.9970279445079747
2021-01-27,1.2999646839150027
2021-01-28,1.3994540655584005
2021-01-29,1.540341099433094
2021-02-01,1.31958198081867
2021-02-02,1.1947824895220576
2021-02-03,0.9580612137288608
2021-02-04,0.7676123471107343
2021-02-05,0.6683615786251322
2021-02-08,0.639461353134521
2021-02-09,0.6423504321542509
2021-02-10,0.7455503613291468
2021-02-11,0.8006013207740428
2021-02-12,0.8462739945968477
2021-02-16,0.9028818629977272
2021-02-17,0.9497516737719047
2021-02-18,1.0418192384221574
2021-02-19,1.0592940329308769
2021-02-22,1.0975651292144262
2021-02-23,1.0977069213515518
2021-02-24,1.0772256729487542
2021-02-25,1.1773142694099499
2021-02-26,1.249889985946677
2021-03-01,1.2710488131936692
2021-03-02,1.1095321945604346
2021-03-03,1.0293803509033583
2021-03-04,1.1145069160042929
2021-03-05,1.106699598589231
2021-03-08,1.0606842938742218
2021-03-09,0.9426079237789764
2021-03-10,0.8833999173268661
2021-03-11,0.8397744968140307
2021-03-12,0.7989628068925652
2021-03-15,0.7508258029933723
2021-03-16,0.7177406056582848
2021-03-17,0.722109449105877
2021-03-18,0.822890984229377
2021-03-19,0.8937593844127513
2021-03-22,0.945634247503754
2021-03-23,0.9371659491559469
2021-03-24,0.961687560263734
2021-03-25,1.0227362722875288
2021-03-26,0.9870372845830208
2021-03-29,0.9600354461621897
2021-03-30,0.9540536612926644
2021-03-31,0.9738506808986112
2021-04-01,0.881753325457254
2021-04-05,0.842170369509019
2021-04-06,0.7936083136669954
2021-04-07,0.8205200074367128
2021-04-08,0.8247882948952376
2021-04-09,0.7906083215984714
2021-04-12,0.8019929799027938
2021-04-13,0.8412179481464542
2021-04-14,0.8989370789962942
2021-04-15,0.9257149437012901
2021-04-16,0.9192506032753552
2021-04-19,0.9500457787312807
2021-04-20,1.076186827287749
2021-04-21,1.1494474792435623
2021-04-22,1.1999750973246295
